,0
V0000,9.640067271236829e-06
V0001,0.001731082517175839
V0002,0.0015703026275034424
V0003,0.002424772583638239
V0004,0.001663543403201783
V0005,0.0003461636029682177
V0006,2.4701247187989058e-05
V0007,0.00042246147030633544
V0008,4.620876517049057e-06
V0009,8.817853255510385e-05
V0010,1.661548768779564e-05
V0011,0.000395825975179908
V0012,1.3851778341156997e-05
V0013,1.3658459613692988e-05
V0014,2.1172447716498746e-05
V0015,4.240453414377119e-06
V0016,6.1437419601958085e-06
V0017,0.00020152286938247482
V0018,5.700657262688015e-05
V0025,7.937960061783615e-06
V0026,1.0771868178882162e-05
V0027,1.1179919873979945e-05
V0028,0.0005319169805375057
V0029,0.000357324686413644
V0030,0.0007297260474805833
V0031,0.000535906207440039
V0032,0.0008760990219926636
V0033,0.0005421976391869467
V0040,9.705404854139924e-06
V0041,1.0088383334188476e-05
V0042,4.848624609115455e-06
V0043,8.42956365590502e-06
V0044,1.255520616718577e-05
V0045,6.042694162529489e-06
V0046,0.0
V0047,7.450036338198664e-06
V0048,6.801965630358018e-06
V0049,5.401725383934303e-06
V0050,0.0
V0053,0.0005824197257181394
V0054,1.3056481733274722e-05
V0055,8.695785054447176e-06
V0056,1.0636408307951681e-05
V0057,1.6864954563028868e-05
V0058,8.585045206280727e-06
V0059,8.83192837509005e-06
V0060,8.078400898003042e-06
V0061,3.4877092672057387e-06
V0062,4.438132808649506e-06
V0063,5.4215109200200526e-05
V0064,1.0044449882867158e-05
V0065,1.3039797008721285e-05
V0066,6.328702698054731e-06
V0067,5.04703716673845e-06
V0068,1.5128304945130076e-05
V0069,9.8420827654015e-06
V0070,8.546905290249507e-06
V0071,7.020589378706903e-06
V0072,1.0114698599304363e-05
V0073,1.2261970731797003e-05
V0074,0.00045102543978880723
V0075,0.0002963583334362573
V0076,0.00035560290219338044
V0077,0.0005360630809777621
V0078,0.000731279212499645
V0079,0.0006427459187819526
V0080,0.0008563255213950102
V0081,0.0009897993524974364
V0082,0.0007691422867606734
V0083,0.0008273593852776606
V0084,0.0006393513546760826
V0085,0.0007210337196718608
V0086,3.873718021163025e-05
V0087,0.00036182511343924603
V0088,0.00011104143584503549
V0089,1.6072633506800645e-05
V0090,0.00404457016762107
V0091,0.0005459580352231128
V0092,0.0030601680396910645
V0093,0.0016586181496420637
V0094,0.0008932804667641158
V0095,0.0032959456402759262
V0096,0.0016981043626209424
V0097,0.00037756833063563253
V0098,0.0025113852537737512
V0099,0.0014761981543725178
V0100,0.0006907305731745962
V0101,0.002962356005583003
V0102,0.0024229745584321083
V0103,7.384830914871292e-05
V0104,0.0002733806745421424
V0105,0.0008441098263667909
V0106,4.986266808279347e-06
V0107,1.1027689096140267e-05
V0108,0.0008484553406285767
V0109,0.0006886463830874653
V0110,4.716090797428558e-06
V0111,0.000952655703364674
V0112,0.000755944446046474
V0113,0.00012486321328926495
V0114,7.984395930041993e-05
V0115,0.0008538588275221722
V0116,0.000151780292840039
V0117,7.385786600466905e-05
V0118,9.656395046858793e-05
V0119,9.910238931320286e-05
V0120,4.968046714140203e-05
V0121,5.337431327014655e-05
V0122,1.7259556073431566e-05
V0123,3.701189121453692e-05
V0124,4.348888821873046e-05
V0125,3.90799648996103e-05
V0126,3.835686143416298e-05
V0127,0.00011076549496530004
V0128,0.00021190499053213495
V0129,8.713743108051962e-05
V0130,7.143548134261645e-05
V0131,0.0001669894837359791
V0132,1.2465059238420986e-05
V0133,1.3183405072895759e-05
V0134,0.0010368566734927675
V0135,9.597556757199661e-06
V0136,9.483692731417365e-05
V0137,0.00012650553644678877
V0138,0.00031018315608667566
V0139,0.00023762205305568194
V0140,0.0002841186089290849
V0141,0.00014136298275444945
V0142,0.0003008646860400559
V0143,0.0001850150148029316
V0144,0.00011628149363082485
V0145,0.00015923632382112426
V0146,0.00016860242652267832
V0147,0.00013999669197575253
V0148,6.719800961417037e-06
V0149,8.245971053483277e-06
V0150,0.0009907787355701336
V0151,7.874909914102733e-06
V0152,4.900018120549118e-05
V0153,3.657068984642705e-05
V0154,2.3030638554917027e-05
V0155,0.00011028553982723332
V0156,6.197437173765333e-05
V0157,1.2484408943689412e-05
V0158,0.0001558641960677322
V0159,9.196501545012137e-06
V0160,1.122565084113578e-05
V0161,0.0017332833001849942
V0162,5.323293146356912e-06
V0163,0.0011789678765316413
V0164,0.000750968759363464
V0165,0.0013300167547501303
V0166,0.0009330772580069152
V0167,0.00023992561318535237
V0168,7.503793405301827e-05
V0169,0.0002037982910416622
V0170,0.001344384818412666
V0171,1.541407856775842e-05
V0172,0.00020956669038415504
V0173,0.00039344414926277397
V0174,9.411078962838933e-05
V0175,9.819235461595538e-06
V0176,7.5302815636423185e-06
V0177,5.622351795113942e-06
V0178,1.391780202448127e-05
V0179,5.9363934616280846e-05
V0180,1.5458677616781307e-05
V0181,1.6960848222484005e-05
V0182,0.00021496069348245916
V0183,0.00026547955945623573
V0184,1.1012897042704929e-05
V0185,1.5381921490922912e-05
V0186,4.949884996363144e-06
V0187,1.0905167361368065e-05
V0188,9.520153635753734e-06
V0189,0.0002052317930245605
V0190,8.176394619202935e-06
V0191,1.6221652773534655e-05
V0192,0.00013547772248009493
V0193,0.00013129933239461558
V0194,5.941594789124033e-06
V0195,9.380618430283714e-05
V0196,1.3637977732359151e-05
V0197,3.825609956285521e-06
V0198,9.363005340005978e-06
V0199,0.00018300631983237764
V0200,3.3585259591380683e-05
V0201,1.894956847471405e-05
V0202,0.00017544211621505266
V0203,0.00016260857089435809
V0204,5.648692812858873e-06
V0205,5.697209685396226e-06
V0206,1.3430294105094943e-05
V0207,6.23430247535677e-06
V0208,1.2973612146346971e-05
V0209,4.450307404253552e-06
V0210,7.574964600354881e-06
V0211,0.00010243218803997972
V0212,0.00011159019926508672
V0213,0.0001396106824958182
V0214,0.0001307747743530059
V0215,8.349400824460898e-06
V0216,7.482774084057614e-06
V0217,1.2458635702165367e-05
V0218,6.362667732545564e-06
V0219,0.005201543780927211
V0220,0.0
V0225,0.0
V0226,0.0
V0229,0.00010043602086799171
V0230,0.0
V0233,0.0
V0234,4.190845245466486e-06
V0235,2.3535183710303596e-06
V0236,5.106945361199468e-06
V0237,0.0
V0238,0.0
V0239,2.9575443133370497e-05
V0240,2.8880248030829415e-06
V0241,0.002963435918707729
V0242,0.00012584157223337577
V0244,0.0
V0245,0.0
V0295,5.563465549274294e-05
V0297,0.00012054927910882668
V0299,0.00015972087983876225
V0301,0.00022591383838645933
V0386,0.004823313463356564
V0387,0.0
V0388,0.00018545460134979317
V0389,0.0004430083934308882
V0390,0.002627315961992902
V0391,0.0019030955085379056
V0392,0.0011108110904887462
V0393,9.522491318605102e-06
V0394,9.667200967990343e-06
V0395,9.116652353624786e-05
V0396,1.0079629311074703e-05
V0397,7.587999914457416e-06
V0398,8.751403718735255e-05
V0399,9.828022317011498e-06
V0400,8.34565295799997e-05
V0401,0.00014765476279190602
V0402,2.103635293686683e-05
V0403,0.00020839121112719157
V0404,0.0007661757239323011
V0405,0.002724179783423586
V0406,0.0021239722291920933
V0407,0.0014964201126500788
V0408,1.037314926840132e-05
V0409,7.151107392509945e-06
V0410,1.4481359211034906e-05
V0411,6.147893445780273e-06
V0412,9.250464483821862e-06
V0413,7.76894481390497e-05
V0414,1.0436426020940872e-05
V0415,7.476942174076997e-05
V0416,0.00013153559591421737
V0417,0.00037921059044471075
V0418,0.0006500087511848478
V0419,0.0021324110919130617
V0420,0.0017760141889126824
V0421,0.0019060810131363052
V0422,1.1853170539247517e-05
V0423,6.380886985550942e-06
V0424,8.989338735845805e-05
V0425,9.070144189441931e-06
V0426,7.216119460528533e-06
V0427,1.3769305159139672e-05
V0428,8.604202327401617e-06
V0429,1.3305488015142603e-05
V0430,1.2537038317520406e-05
V0431,0.000639895185933339
V0432,0.0025581888332670438
V0433,0.0015692858303809113
V0434,0.0014694462597432264
V0435,7.858156281868604e-05
V0436,0.00010402350553251303
V0437,9.791753309594972e-06
V0438,4.2600652781036604e-06
V0439,1.133768422049553e-05
V0440,2.0068552971194155e-05
V0441,4.5665132805919e-06
V0442,4.557497564326501e-06
V0443,7.339872832584756e-06
V0444,0.00015179860944492787
V0445,0.00016029556482576287
V0446,0.00010098317455217437
V0447,0.00013570594762216942
V0448,0.0001484030330380819
V0449,9.671592207246238e-05
V0450,0.00010042577870511222
V0451,8.809084638117037e-05
V0452,0.00013200237075497264
V0453,5.999336985860527e-05
V0454,0.00013078423993235114
V0455,0.000103537058269015
V0456,9.729948665890843e-05
V0457,0.00013267498209365084
V0458,4.205246242805e-05
V0459,2.43035049248153e-05
V0460,0.0001192882205653792
V0461,0.00015349633877497122
V0462,0.00019221504270629407
V0463,0.000235644885019567
V0464,0.00014213899867021267
V0465,0.00021783137152506742
V0466,1.616959315966592e-05
V0467,0.00020044119676962955
V0469,0.0
V0470,0.0
V0471,0.0
V0472,0.0
V0475,1.6546872673131245e-05
V0476,1.3209439040595342e-05
V0477,6.754482943035143e-06
V0478,1.5453750063292444e-05
V0479,0.00027675791576307966
V0480,4.53896154441426e-06
V0481,7.137914628411693e-06
V0482,1.0418826150817598e-05
V0483,9.062132560146032e-06
V0484,4.696674475972371e-06
V0485,1.0114325217801564e-05
V0486,9.416490067065134e-06
V0487,1.4067192402934713e-05
V0488,5.227423753006734e-06
V0489,9.156148105065755e-06
V0490,1.2736242992452395e-05
V0491,0.00010725004268548888
V0492,6.840449372315392e-05
V0493,5.271853467306192e-06
V0494,8.071741285281003e-06
V0495,0.00030998799600959995
V0496,1.039759506753787e-05
V0497,0.00027234719830905325
V0498,0.00036696597546770083
V0499,0.0006584003291955205
V0500,0.0004538874989738653
V0501,7.765349847803624e-06
V0502,0.0
V0503,0.0
V0504,1.5415526746798002e-05
V0505,8.74944303066323e-06
V0506,8.379970630175576e-06
V0507,1.208747740029947e-05
V0508,0.0
V0509,0.0
V0510,0.0
V0511,5.202470452671132e-05
V0512,6.594063361021452e-05
V0513,5.073075636740611e-06
V0514,0.0
V0515,6.560325988686023e-05
V0516,0.001066805395775692
V0517,0.00017515638763174687
V0518,4.464632386681075e-05
V0519,0.0001567066636740804
V0520,0.00029831235754717157
V0521,0.0003652995386501038
V0523,1.4115793171176206e-05
V0524,1.1054784248942366e-05
V0526,8.052409865701104e-05
V0528,0.0001096268128453235
V0531,1.704163850571282e-05
V0533,1.0828970575202909e-05
V0534,7.552905995288452e-06
V0535,1.4232878929359354e-05
V0536,1.1643951867458095e-05
V0537,4.272124161768487e-06
V0538,3.8207229357415617e-05
V0539,2.0007812388316544e-05
V0540,5.579917554218456e-06
V0541,5.0860089281858664e-06
V0544,7.276097557667419e-05
V0546,0.0
V0547,0.0
V0548,4.4432992707067766e-06
V0549,0.0
V0566,0.0
V0609,0.0
V0610,0.0
V0633,0.0
V0634,0.0
V0635,0.0
V0636,8.022179347117009e-06
V0647,7.076022542028104e-05
V0648,0.0
V0649,0.0
V0650,0.0
V0661,4.356778909042757e-06
V0662,0.0
V0663,0.0
V0664,0.0
V0675,0.0
V0676,0.0
V0677,1.0059477322027096e-05
V0678,0.0
V0683,0.0
V0684,5.250484524272092e-05
V0685,6.016224433431342e-05
V0686,0.0
V0687,0.0
V0688,0.0
V0689,0.0
V0690,0.0
V0691,8.206629362761315e-05
V0692,4.071372263077935e-05
V0725,1.5072162598280894e-05
V0726,0.0
V0727,6.584345948003133e-05
V0728,7.6191351542572616e-06
V0729,0.000647034715875508
V0730,8.8907621946793e-05
V0731,0.0
V0732,3.8229419350562655e-06
V0733,0.0
V0734,4.399279125953206e-05
V0735,0.0
V0736,1.2438420417050462e-05
V0737,0.0
V0738,0.0
V0739,5.960143370686682e-06
V0740,6.701365096087866e-06
V0741,0.00010567086154201953
V0742,4.112492120270301e-06
V0743,1.0572063680786498e-05
V0744,1.146872398360492e-05
V0745,8.137858224299156e-06
V0746,8.38917476126439e-06
V0747,0.0006270391881488572
V0748,4.11327446617754e-05
V0749,1.1093285517228997e-05
V0751,0.0002489813335683674
V0752,2.309693813099289e-06
V0753,0.0004504863615058835
V0754,0.00033717049630997437
V0755,0.00027749563928926497
V0756,9.25306974877052e-06
V0757,1.6038835923306615e-06
V0758,0.0
V0759,0.0
V0760,1.150871985228075e-05
V0761,8.815054461445397e-06
V0762,1.0943096796967563e-05
V0763,9.706893360089982e-06
V0764,1.1231546890430706e-05
V0765,0.0
V0766,1.8365057239764192e-06
